,package,last_month,last_week,last_day
napari-bigwarp,napari-bigwarp,7,0,0
napari-cryofibsem-monitor,napari-cryofibsem-monitor,7,2,0
napari-mri,napari-mri,7,2,0
napari-pdf-reader,napari-pdf-reader,8,0,0
napari-ccp4map,napari-ccp4map,9,0,0
napari-compressed-labels-io,napari-compressed-labels-io,9,0,0
napari-em-reader,napari-em-reader,9,0,0
napari-microscope,napari-microscope,10,2,0
platelet-unet-watershed,platelet-unet-watershed,10,0,0
Offset-Subtraction,Offset-Subtraction,11,0,0
Partial-Aligner,Partial-Aligner,11,2,1
napari-brushsettings,napari-brushsettings,11,0,0
napari-multitask,napari-multitask,11,0,0
napari-subboxer,napari-subboxer,11,2,0
napari-dvid,napari-dvid,12,6,1
Layer-Data-Replace,Layer-Data-Replace,13,1,0
napari-text-layer,napari-text-layer,13,1,0
napari-dexp,napari-dexp,15,1,0
Image-Composer,Image-Composer,16,5,0
napari-molecule-reader,napari-molecule-reader,16,1,0
World2Data,World2Data,17,3,0
napari-features,napari-features,17,2,0
napari-nd-cropper,napari-nd-cropper,17,4,0
napari-properties-plotter,napari-properties-plotter,17,2,0
Image-Part-Selecter,Image-Part-Selecter,18,5,0
napari-btrack-reader,napari-btrack-reader,19,3,1
napari-labelimg4classification,napari-labelimg4classification,19,2,0
napari-nucleaizer,napari-nucleaizer,19,1,0
napari-sdeconv,napari-sdeconv,19,3,0
nfinder,nfinder,19,7,0
napari-clemreg,napari-clemreg,20,5,0
napari-math,napari-math,20,5,0
napari-tomoslice,napari-tomoslice,20,1,0
smo,smo,20,3,1
napari-DeepSpot,napari-DeepSpot,21,0,0
napari-arboretum,napari-arboretum,21,2,2
napari-error-reporter,napari-error-reporter,21,5,0
napari-mat-images,napari-mat-images,21,2,0
napari-tissuumaps,napari-tissuumaps,21,2,0
workshop-demo,workshop-demo,21,5,1
bbii-decon,bbii-decon,22,6,0
grabber-ift,grabber-ift,22,5,0
napari-dzi-zarr,napari-dzi-zarr,22,1,0
napari-properties-viewer,napari-properties-viewer,22,1,0
napari-spatial-omics,napari-spatial-omics,22,2,0
napari-mrcfile-handler,napari-mrcfile-handler,23,4,1
napari-mrcfile-reader,napari-mrcfile-reader,23,4,0
napari-spacetx-explorer,napari-spacetx-explorer,23,3,0
napari-stl-exporter,napari-stl-exporter,24,4,1
napari-tracks-reader,napari-tracks-reader,25,6,0
zarpaint,zarpaint,25,11,0
napari-time-series-plotter,napari-time-series-plotter,26,11,0
waver,waver,26,1,0
napari-annotator,napari-annotator,27,5,1
napari-metroid,napari-metroid,27,1,0
napari-timeseries-opener-plugin,napari-timeseries-opener-plugin,27,8,0
napari-checkerboard,napari-checkerboard,28,8,0
napari-deepmeta,napari-deepmeta,28,2,0
napari-feature-classifier,napari-feature-classifier,28,6,0
Label-Creator,Label-Creator,29,9,0
napari-psf-analysis,napari-psf-analysis,29,2,2
napari-labels-overlap,napari-labels-overlap,32,8,0
napari-organoid-counter,napari-organoid-counter,32,10,0
natari,natari,32,2,0
napari-bil-data-viewer,napari-bil-data-viewer,33,3,0
napari-mouse-controls,napari-mouse-controls,33,6,1
napari-apr-viewer,napari-apr-viewer,34,10,0
napari-dv,napari-dv,34,6,0
napari-J,napari-J,35,3,1
napari-elementary-numpy-operations,napari-elementary-numpy-operations,35,5,0
napari-hdf5-labels-io,napari-hdf5-labels-io,35,5,0
napari-nikon-nd2,napari-nikon-nd2,35,8,1
napari-tiler,napari-tiler,35,13,0
napari-video-cvdask,napari-video-cvdask,36,3,0
napari-IDS,napari-IDS,39,0,0
napari_video,napari_video,41,4,0
napari-pymeshlab,napari-pymeshlab,44,4,3
napari-yapic-prediction,napari-yapic-prediction,45,3,2
napari-labelling-assistant,napari-labelling-assistant,48,0,0
napari-bioformats,napari-bioformats,49,9,0
napari-plot,napari-plot,49,10,0
iacs-ipac-reader,iacs-ipac-reader,50,1,0
napari-medical-image-formats,napari-medical-image-formats,51,16,0
napari-roi,napari-roi,53,15,0
napari-zelda,napari-zelda,53,17,0
brainreg-napari,brainreg-napari,54,19,1
napari-aideveloper,napari-aideveloper,56,56,2
napari-animated-gif-io,napari-animated-gif-io,57,16,0
napari-yolov5,napari-yolov5,60,2,0
vessel-express-napari,vessel-express-napari,62,62,3
napari-omero,napari-omero,64,40,31
misic-napari,misic-napari,66,23,8
napari-layer-table,napari-layer-table,66,6,0
napari-power-spectrum,napari-power-spectrum,68,7,1
beetlesafari,beetlesafari,69,4,0
napari-script-editor,napari-script-editor,69,18,1
yt-napari,yt-napari,70,3,1
napari-imc,napari-imc,71,1,0
morphometrics,morphometrics,73,18,0
napari-micromanager,napari-micromanager,74,60,2
napari-image-stacker,napari-image-stacker,78,1,0
napari-wsireg,napari-wsireg,80,9,1
affinder,affinder,83,30,0
napari-czifile2,napari-czifile2,83,15,0
napari-PHILOW,napari-PHILOW,84,5,1
PlatyMatch,PlatyMatch,85,5,0
napari-itk-io,napari-itk-io,85,22,0
napari-plugin-search,napari-plugin-search,95,4,0
napari-curtain,napari-curtain,96,12,0
napari-allencell-segmenter,napari-allencell-segmenter,97,15,1
blik,blik,98,60,2
napari-folder-browser,napari-folder-browser,99,6,0
napari-lazy-openslide,napari-lazy-openslide,102,63,2
napari-blob-detection,napari-blob-detection,103,10,0
napari-tabu,napari-tabu,103,6,0
napari-3d-ortho-viewer,napari-3d-ortho-viewer,105,11,0
napari-geojson,napari-geojson,111,3,0
elastix-napari,elastix-napari,116,42,16
RedLionfish,RedLionfish,118,11,0
napari-IP-workflow,napari-IP-workflow,118,118,1
napari-plot-profile,napari-plot-profile,120,8,0
napari-workflow-optimizer,napari-workflow-optimizer,121,9,0
arcos-gui,arcos-gui,125,24,0
napari-crop,napari-crop,126,18,0
napari-layer-details-display,napari-layer-details-display,126,21,0
napari-imaris-loader,napari-imaris-loader,129,10,2
palmari,palmari,131,18,1
napari-animation,napari-animation,143,32,1
napari-process-points-and-surfaces,napari-process-points-and-surfaces,150,19,0
empanada-napari,empanada-napari,153,29,10
napari-labeling,napari-labeling,153,16,1
napari-cupy-image-processing,napari-cupy-image-processing,156,30,2
napari-brightness-contrast,napari-brightness-contrast,160,23,0
cellpose-napari,cellpose-napari,170,27,3
napari-imsmicrolink,napari-imsmicrolink,185,15,1
napari-kics,napari-kics,189,116,114
napari-workflow-inspector,napari-workflow-inspector,191,31,1
recOrder-napari,recOrder-napari,192,7,1
napari-stracking,napari-stracking,199,31,16
napari-live-recording,napari-live-recording,207,31,18
napari-matplotlib,napari-matplotlib,229,19,2
napari-aicsimageio,napari-aicsimageio,236,60,1
napari-manual-transforms,napari-manual-transforms,245,12,6
napari-pram,napari-pram,278,11,0
cellfinder-napari,cellfinder-napari,281,35,1
napari-clusters-plotter,napari-clusters-plotter,324,36,1
devbio-napari,devbio-napari,337,20,1
napari-psf-simulator,napari-psf-simulator,357,23,1
napari-simpleitk-image-processing,napari-simpleitk-image-processing,365,96,1
napari-segment-blobs-and-things-with-membranes,napari-segment-blobs-and-things-with-membranes,373,38,2
napari-sim-processor,napari-sim-processor,377,97,39
napari-ome-zarr,napari-ome-zarr,402,125,3
brainreg-segment,brainreg-segment,451,205,6
stardist-napari,stardist-napari,471,108,12
napari-roi-registration,napari-roi-registration,505,63,2
napari-accelerated-pixel-and-object-classification,napari-accelerated-pixel-and-object-classification,541,83,2
napari-ndtiffs,napari-ndtiffs,637,221,4
napari-pyclesperanto-assistant,napari-pyclesperanto-assistant,672,108,3
brainglobe-napari-io,brainglobe-napari-io,703,236,5
napari-time-slicer,napari-time-slicer,709,84,2
bfio,bfio,890,262,26
psfmodels,psfmodels,930,72,0
vollseg-napari,vollseg-napari,1053,204,12
napari-assistant,napari-assistant,1067,129,3
napari-skimage-regionprops,napari-skimage-regionprops,1723,171,4
PartSeg,PartSeg,1835,538,6
